user_id,username,password_hash,email,role,age,gender,blood_type,chronic_conditions,allergies,created_at
U0001,admin,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,admin@healthai.com,Admin,58,Male,A+,,Sulfa,2024-05-05
U0002,analyst,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,analyst@healthai.com,Admin,32,Male,A-,,Aspirin,2024-02-14
U0003,user,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,user@healthai.com,Admin,55,Female,A+,,,2024-04-21
U0004,demo,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,demo@healthai.com,Admin,32,Other,A+,Heart Disease,Penicillin,2024-11-28
U0005,user5,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,user5@healthai.com,Admin,62,Other,AB+,Hypertension,NSAIDs,2024-10-28
U0006,user6,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user6@healthai.com,Analyst,35,Male,B+,,NSAIDs,2024-06-23
U0007,user7,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user7@healthai.com,Analyst,35,Male,B-,,Sulfa,2024-02-22
U0008,user8,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user8@healthai.com,Analyst,23,Female,A-,Diabetes,Sulfa,2024-11-05
U0009,user9,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user9@healthai.com,Analyst,34,Male,AB-,Heart Disease,,2024-07-12
U0010,user10,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user10@healthai.com,Analyst,23,Other,O+,,Aspirin,2024-07-04
U0011,user11,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user11@healthai.com,Analyst,54,Male,A-,,Penicillin,2024-05-28
U0012,user12,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user12@healthai.com,Analyst,23,Male,A-,Asthma,Sulfa,2024-08-20
U0013,user13,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user13@healthai.com,Analyst,58,Female,B+,Diabetes,Sulfa,2024-04-17
U0014,user14,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user14@healthai.com,Analyst,60,Female,A-,Heart Disease,Penicillin,2024-09-30
U0015,user15,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user15@healthai.com,Analyst,64,Male,B+,Asthma,NSAIDs,2024-05-18
U0016,user16,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user16@healthai.com,Analyst,58,Other,B-,,Sulfa,2024-01-29
U0017,user17,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user17@healthai.com,Analyst,32,Male,O-,Asthma,Sulfa,2024-02-03
U0018,user18,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user18@healthai.com,Analyst,31,Other,O-,Hypertension,NSAIDs,2024-07-21
U0019,user19,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user19@healthai.com,Analyst,74,Other,AB-,Hypertension,Sulfa,2024-03-12
U0020,user20,20249749412d73a3f5799f6f1dcf910e7b4aa3ce4de133b1f8a63c044792a4e9,user20@healthai.com,Analyst,33,Other,O+,,Aspirin,2024-08-07
U0021,user21,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user21@healthai.com,User,75,Other,AB+,Diabetes,Penicillin,2024-03-11
U0022,user22,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user22@healthai.com,User,50,Female,A-,,,2024-02-26
U0023,user23,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user23@healthai.com,User,27,Other,B+,,NSAIDs,2024-11-01
U0024,user24,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user24@healthai.com,User,22,Female,AB+,Heart Disease,NSAIDs,2024-09-27
U0025,user25,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user25@healthai.com,User,34,Other,A+,,,2024-12-15
U0026,user26,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user26@healthai.com,User,74,Other,O+,,Sulfa,2024-02-27
U0027,user27,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user27@healthai.com,User,36,Female,B+,Asthma,,2024-05-14
U0028,user28,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user28@healthai.com,User,50,Male,A-,,Sulfa,2024-11-23
U0029,user29,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user29@healthai.com,User,50,Other,B-,Hypertension,Sulfa,2024-03-23
U0030,user30,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user30@healthai.com,User,52,Other,A+,Heart Disease,Sulfa,2024-09-07
U0031,user31,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user31@healthai.com,User,19,Male,O-,,Sulfa,2024-05-02
U0032,user32,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user32@healthai.com,User,21,Male,A-,,NSAIDs,2024-02-05
U0033,user33,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user33@healthai.com,User,66,Other,B+,Hypertension,NSAIDs,2024-10-08
U0034,user34,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user34@healthai.com,User,28,Female,AB+,Hypertension,Aspirin,2024-12-19
U0035,user35,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user35@healthai.com,User,30,Other,O+,Asthma,Sulfa,2024-08-12
U0036,user36,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user36@healthai.com,User,75,Other,AB-,,Penicillin,2024-04-25
U0037,user37,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user37@healthai.com,User,22,Female,A+,Heart Disease,Aspirin,2024-04-27
U0038,user38,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user38@healthai.com,User,55,Male,A+,,,2024-04-27
U0039,user39,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user39@healthai.com,User,22,Male,O-,,Aspirin,2024-05-01
U0040,user40,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user40@healthai.com,User,35,Other,AB-,Hypertension,Aspirin,2024-03-08
U0041,user41,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user41@healthai.com,User,64,Other,AB-,Hypertension,NSAIDs,2024-07-27
U0042,user42,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user42@healthai.com,User,30,Male,A-,,NSAIDs,2024-06-30
U0043,user43,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user43@healthai.com,User,45,Female,AB-,,,2024-12-10
U0044,user44,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user44@healthai.com,User,59,Other,A-,,NSAIDs,2024-06-22
U0045,user45,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user45@healthai.com,User,69,Male,B-,Hypertension,Penicillin,2024-10-01
U0046,user46,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user46@healthai.com,User,46,Male,AB+,Hypertension,Sulfa,2024-08-24
U0047,user47,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user47@healthai.com,User,33,Male,AB-,,Aspirin,2024-02-20
U0048,user48,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user48@healthai.com,User,21,Other,A+,,Penicillin,2024-03-26
U0049,user49,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user49@healthai.com,User,44,Female,AB-,Hypertension,NSAIDs,2024-01-31
U0050,user50,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user50@healthai.com,User,28,Female,A+,Asthma,Sulfa,2024-08-20
U0051,user51,e606e38b0d8c19b24cf0ee3808183162ea7cd63ff7912dbb22b5e803286b4446,user51@healthai.com,User,36,Female,AB-,Hypertension,Penicillin,2024-05-31
